Field ID,Field Name,Entity Name,Frequency,Unit Override,Topic,Notes
054dd45e-9265-4527-9206-09fab8886863,High Coverage Framework Field 1,"Alpha HQ, Alpha Factory",Monthly,,Energy Management,
054dd45e-9265-4527-9206-09fab8886863,High Coverage Framework Field 1,Alpha Factory,Annual,,,
14eeb82a-113a-4ed8-a8a9-52ceed225a10,Complete Framework Field 6,Alpha Factory,Annual,,,
3a0cb397-f784-4cab-becc-ea029b072a6c,Low Coverage Framework Field 2,Alpha HQ,Quarterly,,,
41d86e2a-e3dc-4518-ba05-638c2b04e720,High Coverage Framework Field 8,Alpha Factory,Annual,,,
511c14d0-320a-4662-99cf-c7e44e558090,High Coverage Framework Field 7,Alpha Factory,Monthly,,,
607342a0-533b-40fb-b654-f5385162de1c,Complete Framework Field 5,Alpha HQ,Annual,,,
8c125b6d-9193-4e18-bff2-ed3501d6f35a,Low Coverage Framework Field 1,Alpha Factory,Annual,,,
8d11bbf9-0670-48e6-8fe5-60cdb115cd23,Water Recycled,Alpha Factory,Annual,,Water Management,
a234dd3b-5994-44d3-95a8-ee183c0b897e,Searchable Test Framework Field 2,Alpha Factory,Annual,,,
ad62693e-be6b-477d-b5dd-454add612252,High Coverage Framework Field 4,Alpha Factory,Annual,,,